,noun_chunk,product,freq,overall_freq,Rank
19794,grinder,B00018RRRK.raw.json,3223,10036,1.0
10402,grinder,B00005OTXM.raw.json,1419,10036,1.0
37394,grinder,B000BRLXUI.raw.json,4085,10036,1.0
1556,grinder,B00004SPEU.raw.json,1309,10036,1.0
19795,coffee,B00018RRRK.raw.json,2911,9513,5.0
37395,coffee,B000BRLXUI.raw.json,3658,9513,5.0
10401,coffee,B00005OTXM.raw.json,1454,9513,5.0
1555,coffee,B00004SPEU.raw.json,1353,9513,5.0
0,coffee,B00004S9CY.raw.json,137,9513,5.0
19796,bean,B00018RRRK.raw.json,1699,5548,10.0
1557,bean,B00004SPEU.raw.json,705,5548,10.0
1,bean,B00004S9CY.raw.json,119,5548,10.0
37396,bean,B000BRLXUI.raw.json,2226,5548,10.0
10403,bean,B00005OTXM.raw.json,799,5548,10.0
13,grind,B00004S9CY.raw.json,27,3404,15.0
37397,grind,B000BRLXUI.raw.json,1464,3404,15.0
19797,grind,B00018RRRK.raw.json,1144,3404,15.0
10408,grind,B00005OTXM.raw.json,401,3404,15.0
1562,grind,B00004SPEU.raw.json,368,3404,15.0
10406,product,B00005OTXM.raw.json,461,2983,20.0
37398,product,B000BRLXUI.raw.json,1132,2983,20.0
6,product,B00004S9CY.raw.json,44,2983,20.0
1560,product,B00004SPEU.raw.json,418,2983,20.0
19798,product,B00018RRRK.raw.json,928,2983,20.0
37401,coffee bean,B000BRLXUI.raw.json,928,2825,25.0
10405,coffee bean,B00005OTXM.raw.json,567,2825,25.0
4,coffee bean,B00004S9CY.raw.json,47,2825,25.0
19800,coffee bean,B00018RRRK.raw.json,768,2825,25.0
1559,coffee bean,B00004SPEU.raw.json,515,2825,25.0
2,time,B00004S9CY.raw.json,54,2524,30.0
10409,time,B00005OTXM.raw.json,396,2524,30.0
1563,time,B00004SPEU.raw.json,350,2524,30.0
37400,time,B000BRLXUI.raw.json,966,2524,30.0
19801,time,B00018RRRK.raw.json,758,2524,30.0
10410,year,B00005OTXM.raw.json,372,2484,35.0
19799,year,B00018RRRK.raw.json,776,2484,35.0
1564,year,B00004SPEU.raw.json,343,2484,35.0
37399,year,B000BRLXUI.raw.json,968,2484,35.0
16,year,B00004S9CY.raw.json,25,2484,35.0
19807,spice,B00018RRRK.raw.json,593,2464,40.0
10404,spice,B00005OTXM.raw.json,578,2464,40.0
9,spice,B00004S9CY.raw.json,35,2464,40.0
1558,spice,B00004SPEU.raw.json,558,2464,40.0
37406,spice,B000BRLXUI.raw.json,700,2464,40.0
37402,coffee grinder,B000BRLXUI.raw.json,868,2194,45.0
5,coffee grinder,B00004S9CY.raw.json,44,2194,45.0
10411,coffee grinder,B00005OTXM.raw.json,370,2194,45.0
1565,coffee grinder,B00004SPEU.raw.json,316,2194,45.0
19805,coffee grinder,B00018RRRK.raw.json,596,2194,45.0
19802,ground,B00018RRRK.raw.json,648,2071,50.0
1570,ground,B00004SPEU.raw.json,263,2071,50.0
