,noun_chunk,product,freq,overall_freq,Rank
0,water,B003KYSLNQ.raw.json,2374,13323,1.0
11138,water,B00CT9XO4E.raw.json,2374,13323,1.0
34205,water,B00ZPN3O2I.raw.json,2964,13323,1.0
47072,water,B012WF88QS.raw.json,3237,13323,1.0
22672,water,B00N2278VC.raw.json,2374,13323,1.0
34206,kettle,B00ZPN3O2I.raw.json,2731,10718,2.0
11137,kettle,B00CT9XO4E.raw.json,2472,10718,2.0
47073,kettle,B012WF88QS.raw.json,3043,10718,2.0
22671,kettle,B00N2278VC.raw.json,2472,10718,2.0
1,tea,B003KYSLNQ.raw.json,1315,6983,3.0
34207,tea,B00ZPN3O2I.raw.json,1487,6983,3.0
11139,tea,B00CT9XO4E.raw.json,1315,6983,3.0
47074,tea,B012WF88QS.raw.json,1551,6983,3.0
22673,tea,B00N2278VC.raw.json,1315,6983,3.0
11140,product,B00CT9XO4E.raw.json,557,2999,4.0
47075,product,B012WF88QS.raw.json,680,2999,4.0
34208,product,B00ZPN3O2I.raw.json,648,2999,4.0
2,product,B003KYSLNQ.raw.json,550,2999,4.0
22674,product,B00N2278VC.raw.json,564,2999,4.0
22677,year,B00N2278VC.raw.json,506,2620,5.0
5,year,B003KYSLNQ.raw.json,506,2620,5.0
47076,year,B012WF88QS.raw.json,565,2620,5.0
11143,year,B00CT9XO4E.raw.json,506,2620,5.0
34209,year,B00ZPN3O2I.raw.json,537,2620,5.0
22676,temperature,B00N2278VC.raw.json,510,2565,6.0
4,temperature,B003KYSLNQ.raw.json,510,2565,6.0
47078,temperature,B012WF88QS.raw.json,520,2565,6.0
11142,temperature,B00CT9XO4E.raw.json,510,2565,6.0
34210,temperature,B00ZPN3O2I.raw.json,515,2565,6.0
3,cuisinart,B003KYSLNQ.raw.json,510,2553,7.0
11141,cuisinart,B00CT9XO4E.raw.json,510,2553,7.0
22675,cuisinart,B00N2278VC.raw.json,510,2553,7.0
47079,cuisinart,B012WF88QS.raw.json,513,2553,7.0
34211,cuisinart,B00ZPN3O2I.raw.json,510,2553,7.0
34213,button,B00ZPN3O2I.raw.json,480,2318,8.0
11144,button,B00CT9XO4E.raw.json,452,2318,8.0
47080,button,B012WF88QS.raw.json,482,2318,8.0
6,button,B003KYSLNQ.raw.json,446,2318,8.0
22678,button,B00N2278VC.raw.json,458,2318,8.0
11145,time,B00CT9XO4E.raw.json,396,2199,9.0
47077,time,B012WF88QS.raw.json,525,2199,9.0
7,time,B003KYSLNQ.raw.json,378,2199,9.0
22679,time,B00N2278VC.raw.json,414,2199,9.0
34212,time,B00ZPN3O2I.raw.json,486,2199,9.0
47081,thing,B012WF88QS.raw.json,415,1829,10.0
22680,thing,B00N2278VC.raw.json,346,1829,10.0
34214,thing,B00ZPN3O2I.raw.json,394,1829,10.0
11146,thing,B00CT9XO4E.raw.json,340,1829,10.0
9,thing,B003KYSLNQ.raw.json,334,1829,10.0
11147,coffee,B00CT9XO4E.raw.json,338,1821,11.0
8,coffee,B003KYSLNQ.raw.json,338,1821,11.0
47082,coffee,B012WF88QS.raw.json,414,1821,11.0
34215,coffee,B00ZPN3O2I.raw.json,393,1821,11.0
22681,coffee,B00N2278VC.raw.json,338,1821,11.0
34216,month,B00ZPN3O2I.raw.json,360,1660,12.0
47085,month,B012WF88QS.raw.json,376,1660,12.0
11,month,B003KYSLNQ.raw.json,307,1660,12.0
22683,month,B00N2278VC.raw.json,309,1660,12.0
11149,month,B00CT9XO4E.raw.json,308,1660,12.0
47086,problem,B012WF88QS.raw.json,369,1645,13.0
11148,problem,B00CT9XO4E.raw.json,311,1645,13.0
10,problem,B003KYSLNQ.raw.json,310,1645,13.0
22682,problem,B00N2278VC.raw.json,312,1645,13.0
34219,problem,B00ZPN3O2I.raw.json,343,1645,13.0
22684,lid,B00N2278VC.raw.json,290,1630,14.0
12,lid,B003KYSLNQ.raw.json,290,1630,14.0
34217,lid,B00ZPN3O2I.raw.json,360,1630,14.0
47083,lid,B012WF88QS.raw.json,400,1630,14.0
11150,lid,B00CT9XO4E.raw.json,290,1630,14.0
22686,pot,B00N2278VC.raw.json,274,1562,15.0
13,pot,B003KYSLNQ.raw.json,274,1562,15.0
34218,pot,B00ZPN3O2I.raw.json,352,1562,15.0
47084,pot,B012WF88QS.raw.json,388,1562,15.0
11151,pot,B00CT9XO4E.raw.json,274,1562,15.0
22687,use,B00N2278VC.raw.json,267,1479,16.0
15,use,B003KYSLNQ.raw.json,257,1479,16.0
11152,use,B00CT9XO4E.raw.json,262,1479,16.0
34220,use,B00ZPN3O2I.raw.json,334,1479,16.0
47087,use,B012WF88QS.raw.json,359,1479,16.0
11153,lot,B00CT9XO4E.raw.json,260,1421,17.0
22685,lot,B00N2278VC.raw.json,277,1421,17.0
34221,lot,B00ZPN3O2I.raw.json,310,1421,17.0
17,lot,B003KYSLNQ.raw.json,243,1421,17.0
47089,lot,B012WF88QS.raw.json,331,1421,17.0
22689,base,B00N2278VC.raw.json,251,1400,18.0
11155,base,B00CT9XO4E.raw.json,251,1400,18.0
34222,base,B00ZPN3O2I.raw.json,306,1400,18.0
16,base,B003KYSLNQ.raw.json,251,1400,18.0
47088,base,B012WF88QS.raw.json,341,1400,18.0
22688,unit,B00N2278VC.raw.json,258,1366,19.0
34223,unit,B00ZPN3O2I.raw.json,292,1366,19.0
47091,unit,B012WF88QS.raw.json,300,1366,19.0
14,unit,B003KYSLNQ.raw.json,258,1366,19.0
11154,unit,B00CT9XO4E.raw.json,258,1366,19.0
47093,review,B012WF88QS.raw.json,295,1270,20.0
34224,review,B00ZPN3O2I.raw.json,273,1270,20.0
18,review,B003KYSLNQ.raw.json,230,1270,20.0
22690,review,B00N2278VC.raw.json,238,1270,20.0
11156,review,B00CT9XO4E.raw.json,234,1270,20.0
34225,electric kettle,B00ZPN3O2I.raw.json,271,1260,21.0
19,electric kettle,B003KYSLNQ.raw.json,223,1260,21.0
11158,electric kettle,B00CT9XO4E.raw.json,223,1260,21.0
47090,electric kettle,B012WF88QS.raw.json,320,1260,21.0
22693,electric kettle,B00N2278VC.raw.json,223,1260,21.0
11157,issue,B00CT9XO4E.raw.json,224,1210,22.0
47094,issue,B012WF88QS.raw.json,278,1210,22.0
22692,issue,B00N2278VC.raw.json,227,1210,22.0
20,issue,B003KYSLNQ.raw.json,221,1210,22.0
34226,issue,B00ZPN3O2I.raw.json,260,1210,22.0
34227,handle,B00ZPN3O2I.raw.json,249,1206,23.0
11159,handle,B00CT9XO4E.raw.json,219,1206,23.0
21,handle,B003KYSLNQ.raw.json,218,1206,23.0
47092,handle,B012WF88QS.raw.json,300,1206,23.0
22694,handle,B00N2278VC.raw.json,220,1206,23.0
22,temp,B003KYSLNQ.raw.json,215,1086,24.0
47102,temp,B012WF88QS.raw.json,222,1086,24.0
11160,temp,B00CT9XO4E.raw.json,215,1086,24.0
22695,temp,B00N2278VC.raw.json,215,1086,24.0
34230,temp,B00ZPN3O2I.raw.json,219,1086,24.0
23,replacement,B003KYSLNQ.raw.json,208,1071,25.0
22696,replacement,B00N2278VC.raw.json,210,1071,25.0
34229,replacement,B00ZPN3O2I.raw.json,220,1071,25.0
11161,replacement,B00CT9XO4E.raw.json,209,1071,25.0
47100,replacement,B012WF88QS.raw.json,224,1071,25.0
34232,amazon,B00ZPN3O2I.raw.json,211,997,26.0
24,amazon,B003KYSLNQ.raw.json,189,997,26.0
47103,amazon,B012WF88QS.raw.json,219,997,26.0
22697,amazon,B00N2278VC.raw.json,189,997,26.0
11162,amazon,B00CT9XO4E.raw.json,189,997,26.0
11163,cup,B00CT9XO4E.raw.json,176,972,27.0
22698,cup,B00N2278VC.raw.json,176,972,27.0
34231,cup,B00ZPN3O2I.raw.json,214,972,27.0
47098,cup,B012WF88QS.raw.json,230,972,27.0
25,cup,B003KYSLNQ.raw.json,176,972,27.0
30,counter,B003KYSLNQ.raw.json,158,910,28.0
34235,counter,B00ZPN3O2I.raw.json,195,910,28.0
22704,counter,B00N2278VC.raw.json,158,910,28.0
11169,counter,B00CT9XO4E.raw.json,158,910,28.0
47096,counter,B012WF88QS.raw.json,241,910,28.0
34236,day,B00ZPN3O2I.raw.json,193,887,29.0
22701,day,B00N2278VC.raw.json,164,887,29.0
27,day,B003KYSLNQ.raw.json,162,887,29.0
47101,price,B012WF88QS.raw.json,224,887,29.0
11165,day,B00CT9XO4E.raw.json,163,887,29.0
34,price,B003KYSLNQ.raw.json,144,887,29.0
22705,price,B00N2278VC.raw.json,158,887,29.0
47105,day,B012WF88QS.raw.json,205,887,29.0
34233,price,B00ZPN3O2I.raw.json,210,887,29.0
11170,price,B00CT9XO4E.raw.json,151,887,29.0
22702,way,B00N2278VC.raw.json,162,866,30.0
47104,way,B012WF88QS.raw.json,206,866,30.0
34237,way,B00ZPN3O2I.raw.json,183,866,30.0
31,way,B003KYSLNQ.raw.json,156,866,30.0
