,total,negative,neutral,positive,Grind performance,Noise,Convenience,Cleaning
Coffee Grinder,,,,,17084,2617,235,4557
total,84986,29475,16871,38640,"{'negative': 6962, 'neutral': 3952, 'positive': 6170, 'total': 17084}","{'negative': 1356, 'neutral': 657, 'positive': 604, 'total': 2617}","{'negative': 50, 'neutral': 42, 'positive': 143, 'total': 235}","{'negative': 1422, 'neutral': 788, 'positive': 2347, 'total': 4557}"
B071FM24ZC,1277,391,203,683,"{'negative': 120, 'neutral': 61, 'positive': 98, 'total': 279}","{'negative': 8, 'neutral': 6, 'positive': 6, 'total': 20}","{'negative': 1, 'neutral': 1, 'positive': 0, 'total': 2}","{'negative': 6, 'neutral': 9, 'positive': 56, 'total': 71}"
B078RW6QDJ,203,52,53,98,"{'negative': 8, 'neutral': 15, 'positive': 14, 'total': 37}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 1, 'total': 1}","{'negative': 1, 'neutral': 1, 'positive': 4, 'total': 6}"
B013R3Q7B2,5369,1924,1185,2260,"{'negative': 602, 'neutral': 340, 'positive': 428, 'total': 1370}","{'negative': 19, 'neutral': 13, 'positive': 9, 'total': 41}","{'negative': 8, 'neutral': 3, 'positive': 8, 'total': 19}","{'negative': 55, 'neutral': 40, 'positive': 93, 'total': 188}"
B07HQHHSVB,1433,343,281,809,"{'negative': 91, 'neutral': 76, 'positive': 129, 'total': 296}","{'negative': 15, 'neutral': 11, 'positive': 8, 'total': 34}","{'negative': 0, 'neutral': 0, 'positive': 4, 'total': 4}","{'negative': 27, 'neutral': 22, 'positive': 74, 'total': 123}"
B076FJ92M4,3990,951,696,2343,"{'negative': 220, 'neutral': 146, 'positive': 360, 'total': 726}","{'negative': 52, 'neutral': 40, 'positive': 54, 'total': 146}","{'negative': 0, 'neutral': 0, 'positive': 6, 'total': 6}","{'negative': 62, 'neutral': 37, 'positive': 154, 'total': 253}"
B07V365CMQ,253,39,46,168,"{'negative': 11, 'neutral': 13, 'positive': 32, 'total': 56}","{'negative': 4, 'neutral': 0, 'positive': 2, 'total': 6}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 3, 'neutral': 3, 'positive': 22, 'total': 28}"
B000BRLXUI,8381,3113,1634,3634,"{'negative': 682, 'neutral': 331, 'positive': 557, 'total': 1570}","{'negative': 69, 'neutral': 36, 'positive': 28, 'total': 133}","{'negative': 5, 'neutral': 3, 'positive': 16, 'total': 24}","{'negative': 160, 'neutral': 83, 'positive': 293, 'total': 536}"
B00005OTXM,1792,529,340,923,"{'negative': 110, 'neutral': 76, 'positive': 104, 'total': 290}","{'negative': 9, 'neutral': 10, 'positive': 5, 'total': 24}","{'negative': 0, 'neutral': 0, 'positive': 1, 'total': 1}","{'negative': 26, 'neutral': 15, 'positive': 40, 'total': 81}"
B07CSKGLMM,5336,1913,1170,2253,"{'negative': 470, 'neutral': 261, 'positive': 432, 'total': 1163}","{'negative': 146, 'neutral': 55, 'positive': 55, 'total': 256}","{'negative': 6, 'neutral': 5, 'positive': 7, 'total': 18}","{'negative': 94, 'neutral': 64, 'positive': 131, 'total': 289}"
B00OXGXW8O,4320,1672,832,1816,"{'negative': 399, 'neutral': 175, 'positive': 312, 'total': 886}","{'negative': 54, 'neutral': 23, 'positive': 23, 'total': 100}","{'negative': 2, 'neutral': 3, 'positive': 10, 'total': 15}","{'negative': 65, 'neutral': 31, 'positive': 78, 'total': 174}"
B07L6VRLDF,136,60,31,45,"{'negative': 14, 'neutral': 10, 'positive': 5, 'total': 29}","{'negative': 1, 'neutral': 2, 'positive': 1, 'total': 4}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 4, 'neutral': 5, 'positive': 1, 'total': 10}"
